Index,Raw #,#,Set,Name,Team,Pts.,Yr.,OB/C,Spd/IP,Pos,H,Icon,PU,SO,GB,FB,W,S,S+,DB,TR,HR
'02 27 ASG,27,27,ASG,Barry Bonds,Giants,910,'02,14,14,LF-RF+0,L,[ S HR V ],-,1-2,3-,4-5,6-14,15-,-,16-,-,17+
'03 252 UL,252,252,UL,Barry Bonds,Giants,900,'03,16,12,LF-RF+0,L,V S HR,-,1-,2-,3-,4-12,13-16,-,17-18,-,19+
'02 283 UL,283,283,UL,Barry Bonds,Giants,860,'02,14,14,LF-RF+0,L,[ S HR V ],-,1-2,3-,4-5,6-13,14-,-,15-16,-,17+
'02 112 SS,112,112,SS,Pedro Martinez '97,Expos,830,'02,6,7,Starter,R,[ CY K ],1-2,3-11,12-14,15-17,18-,19-24,-,-,-,25+
'04 314 UL,314,314,UL,Albert Pujols,Cardinals,810,'04,14,11,"LF-RF+1, 1B+0",R,S,-,1-,2-4,5-6,7-10,11-15,-,16-18,-,19+
'02 117 SS,117,117,SS,Frank Thomas '94,White Sox,810,'02,15,12,1B+1,R,[ S HR V ],-,1-3,4-5,6-7,8-14,15-,-,16-17,-,18+
'02 98 SS,98,98,SS,Jeff Bagwell '94,Astros,800,'02,14,12,1B+1,R,[ S G HR V ],-,1-3,4-,5-6,7-13,14-,-,15-16,-,17+
'02 97-1 UL,97,97-1,UL,Pedro Martinez,Red Sox,790,'02,5,6,Starter,R,[ 20 K ],1-2,3-11,12-15,16-18,19-,20-25,-,-,-,26+
'05 175 CC,175,175,CC,Nolan Ryan,Angels,750,'05,5,8,Starter,R,20 K,1-,2-10,11-12,13-17,18-20,21-,-,22-,-,23+
'05 127-1 UL,127,127-1,UL,Adrian Beltre,Mariners,740,'05,13,12,3B+2,R,,,1-,2-4,5-7,8-9,10-15,-,16-17,-,18+
'03 115 SS,115,115,SS,John Olerud,Blue Jays,740,'03,14,10,1B+0,L,,-,1-,2-3,4-5,6-10,11-16,-,17-19,-,20+
'05 174 CC,174,174,CC,Harmon Killebrew,Twins,730,'05,13,12,3B+3,R,V HR S,,1-2,3-,4-6,7-12,13-14,-,15-16,-,17+
'03 114 SS,114,114,SS,Ivan Rodriguez,Rangers,730,'03,12,19,C+11,R,G S V,-,1-,2-4,5-6,7-8,9-14,15-16,17-18,-,19+
'02 111 SS,111,111,SS,Larry Walker '97,Rockies,730,'02,14,18,LF-RF+3,L,[ S G HR V ],-,1-3,4-,5-7,8-11,12-14,-,15-17,-,18+
'03 125 CC,125,125,CC,Nolan Ryan,Astros,730,'03,5,8,Starter,R,K 20,1-,2-10,11-,12-16,17-19,20-,-,21-,-,22+
